Instance,Algorithm,P1_Name,P1_Val,P2_Name,P2_Val,BestCost,Evaluations,TimeMicros
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,16998,38000,4979
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,17156,89300,12025
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,15908,159600,21072
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,16410,170240,22799
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,16872,425600,57412
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,16458,680960,91267
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,31534,10526,1588
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,19018,22762,3476
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,17196,11742,1754
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,20022,26638,3970
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,29662,15618,2340
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,15134,30780,4624
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,19092,57874,8630
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,16086,70034,10543
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,17600,84854,12738
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,17164,117952,17633
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,16664,185630,27803
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,16718,100092,14984
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,17126,313918,47007
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,17122,329156,49442
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,16996,168986,25810
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,18594,15960,2270
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,16874,27550,3771
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,16086,65360,8963
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,19542,21660,3172
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,17370,41800,8720
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,15106,68400,14957
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,21902,17480,3808
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,19550,54150,7782
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,16882,95760,12628
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,17670,45220,6007
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,16664,108300,14272
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,14922,156560,20898
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,17690,170240,22596
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,18486,425600,56762
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,16124,680960,93816
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,19586,13148,2012
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,23422,11894,1919
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,16964,10982,2342
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,24650,23104,5364
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,22278,17290,2608
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,17292,41306,6419
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,15672,83068,13525
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,18110,59090,9441
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,15908,168454,27402
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,15904,81510,12456
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,21730,253916,39123
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,14810,90516,13628
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,22384,153672,23575
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,14996,158004,23845
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,16994,167162,26034
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,16962,17860,2450
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,22330,35150,4602
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,16932,45600,6412
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,16988,21660,2903
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,20868,36100,4721
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,18640,62320,8460
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,18806,29260,3833
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,15792,70300,9188
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,17308,101840,13867
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,16154,34960,4871
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,17938,83600,11111
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,17722,167200,23213
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,16962,176320,23746
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,14936,425600,57117
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,15298,700720,106499
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,20552,12692,1906
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,14812,11666,1739
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,23624,10184,1517
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,21092,21736,3238
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,21098,38874,6181
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,22646,19418,2900
