Instance, OptCost, Algorithm, Run, BestCost, Steps, Evaluations, TimeMicros
data\esc64a.dat,116,RandomSearch,2,200,5,556,6559
data\esc64a.dat,116,RandomWalk,2,196,12869,12869,6550
data\esc64a.dat,116,Heuristic,3,254,0,0,14
data\esc64a.dat,116,Greedy,3,116,36,7837,2621
data\esc64a.dat,116,Steepest,3,116,13,28224,9380
data\esc64a.dat,116,RandomSearch,3,208,4,584,6004
data\esc64a.dat,116,RandomWalk,3,198,11851,11851,6000
data\esc64a.dat,116,Heuristic,4,252,0,0,13
data\esc64a.dat,116,Greedy,4,122,30,8596,2844
data\esc64a.dat,116,Steepest,4,116,13,28224,9063
data\esc64a.dat,116,RandomSearch,4,200,6,579,5962
data\esc64a.dat,116,RandomWalk,4,204,11798,11798,5953
data\esc64a.dat,116,Heuristic,5,284,0,0,12
data\esc64a.dat,116,Greedy,5,120,22,4588,1278
data\esc64a.dat,116,Steepest,5,116,10,22176,5626
data\esc64a.dat,116,RandomSearch,5,210,2,445,3458
data\esc64a.dat,116,RandomWalk,5,190,10512,10512,3452
data\esc64a.dat,116,Heuristic,6,264,0,0,8
data\esc64a.dat,116,Greedy,6,116,33,6709,1418
data\esc64a.dat,116,Steepest,6,122,12,26208,5379
data\esc64a.dat,116,RandomSearch,6,208,7,527,3425
data\esc64a.dat,116,RandomWalk,6,212,10272,10272,3398
data\esc64a.dat,116,Heuristic,7,280,0,0,7
data\esc64a.dat,116,Greedy,7,118,29,5907,1191
data\esc64a.dat,116,Steepest,7,118,11,24192,4925
data\esc64a.dat,116,RandomSearch,7,202,4,477,3063
data\esc64a.dat,116,RandomWalk,7,204,9656,9656,3058
data\esc64a.dat,116,Heuristic,8,300,0,0,6
data\esc64a.dat,116,Greedy,8,118,30,9657,2027
data\esc64a.dat,116,Steepest,8,116,13,28224,5674
data\esc64a.dat,116,RandomSearch,8,216,6,530,3856
data\esc64a.dat,116,RandomWalk,8,188,9792,9792,3850
data\esc64a.dat,116,Heuristic,9,254,0,0,10
data\esc64a.dat,116,Greedy,9,116,24,6214,1676
data\esc64a.dat,116,Steepest,9,118,11,24192,6801
data\esc64a.dat,116,RandomSearch,9,206,4,410,4243
data\esc64a.dat,116,RandomWalk,9,198,8400,8400,4238
data\esc64a.dat,116,Heuristic,10,266,0,0,11
data\esc64a.dat,116,Greedy,10,116,31,5201,1683
data\esc64a.dat,116,Steepest,10,122,14,30240,9829
data\esc64a.dat,116,RandomSearch,10,204,5,562,5763
data\esc64a.dat,116,RandomWalk,10,206,11226,11226,5756
data\nug12.dat,578,Heuristic,1,854,0,0,3
data\nug12.dat,578,Greedy,1,590,16,305,48
data\nug12.dat,578,Steepest,1,600,7,528,48
data\nug12.dat,578,RandomSearch,1,712,4,45,48
